Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
223436601,"Careless People: A Cautionary Tale of Power, Greed, and Lost Idealism",Sarah Wynn-Williams,"Wynn-Williams, Sarah",,"=""1250391237""","=""9781250391230""",0,4.20,Flatiron Books,Hardcover,382,2025,2025,,2025/08/16,to-read,to-read (#231),to-read,,,,0,0
869231,Beyond Entrepreneurship: Turning Your Business into an Enduring Great Company,Jim Collins,"Collins, Jim",William C. Lazier,"=""0133815269""","=""9780133815269""",0,4.13,Prentice Hall Press,Paperback,,1995,1992,,2025/08/08,to-read,to-read (#230),to-read,,,,0,0
20527133,"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,"Bostrom, Nick",,"=""0199678111""","=""9780199678112""",0,3.85,Oxford University Press,Hardcover,352,2014,2014,,2021/12/22,"myshelf, currently-reading","myshelf (#96), currently-reading (#7)",currently-reading,,,,1,0
43306206,"The Courage to Be Disliked: How to Free Yourself, Change your Life and Achieve Real Happiness",Ichiro Kishimi,"Kishimi, Ichiro",Fumitake Koga,"=""""","=""""",4,3.93,Allen & Unwin,Paperback,288,2019,2013,2025/08/03,2025/07/13,myshelf,myshelf (#128),read,,,,1,0
37937614,"The Vengeance of Indra (Vikramaditya Veergatha, #3)",Shatrujeet Nath,"Nath, Shatrujeet",,"=""9386867575""","=""9789386867575""",4,4.32,Jaico Publishing House,Paperback,376,2018,,2025/07/12,2021/05/16,myshelf,myshelf (#127),read,,,,1,0
61918819,The Wisdom of the Bullfrog: Leadership Made Simple (But Not Easy),William H. McRaven,"McRaven, William H.",,"=""1538707942""","=""9781538707944""",0,4.40,Grand Central Publishing,Hardcover,224,2023,,,2025/06/26,to-read,to-read (#229),to-read,,,,0,0
40086702,Nine Lies About Work: A Freethinking Leader’s Guide to the Real World,Marcus Buckingham,"Buckingham, Marcus",Ashley Goodall,"=""1633696316""","=""""",0,4.10,Harvard Business Review Press,Kindle Edition,332,2019,2019,,2025/05/30,to-read,to-read (#228),to-read,,,,0,0
27833670,Dark Matter,Blake Crouch,"Crouch, Blake",,"=""1101904224""","=""9781101904220""",0,4.13,Ballantine Books,Hardcover,342,2016,2016,,2025/05/11,to-read,to-read (#227),to-read,,,,0,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",0,4.50,Ballantine Books,Hardcover,476,2021,2021,,2025/05/11,to-read,to-read (#226),to-read,,,,0,0
772780,"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,"Clarke, Arthur C.",,"=""0151768358""","=""9780151768356""",0,4.12,"Harcourt Brace Jovanovich, Inc.",Hardcover,303,1973,1973,,2025/05/11,to-read,to-read (#225),to-read,,,,0,0
23463279,Designing Data-Intensive Applications,Martin Kleppmann,"Kleppmann, Martin",,"=""""","=""""",0,4.70,O'Reilly,ebook,562,,2015,,2025/04/21,currently-reading,currently-reading (#6),currently-reading,,,,1,0
34372564,Microservice Patterns,Chris Richardson,"Richardson, Chris",,"=""""","=""""",0,4.25,Manning,Paperback,520,2017,,,2025/04/21,currently-reading,currently-reading (#5),currently-reading,,,,1,0
1491906,Gang Leader for a Day: A Rogue Sociologist Takes to the Streets,Sudhir Venkatesh,"Venkatesh, Sudhir",,"=""1594201501""","=""9781594201509""",0,4.07,Penguin Press,Hardcover,302,2008,2008,,2025/04/13,to-read,to-read (#224),to-read,,,,0,0
18224060,The Concise 48 Laws of Power,Robert Greene,"Greene, Robert",,"=""""","=""""",0,4.11,Viva Books,Hardcover,195,2011,,,2019/07/18,to-read,to-read (#100),to-read,,,,0,0
12505,The Idiot,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Anna Brailovsky, Joseph Frank, Constance Garnett","=""0679642420""","=""9780679642428""",0,4.21,Modern Library,Paperback,667,2003,1869,,2025/03/17,to-read,to-read (#223),to-read,,,,0,0
13519910,Take It Really Seriously,Osho,"Osho, Osho",,"=""0953484513""","=""9780953484515""",0,4.42,Grace Publishing,Paperback,688,1998,1998,,2025/03/17,to-read,to-read (#222),to-read,,,,0,0
41574532,The Spy and the Traitor: The Greatest Espionage Story of the Cold War,Ben Macintyre,"Macintyre, Ben",,"=""0241972132""","=""9780241972137""",4,4.52,Penguin,Paperback,370,2019,2018,2025/02/16,2020/12/12,,,read,"The book outlines the journey of Oleg Gordievsky from his birth in a compelling manner. From the start, it will keep you hooked. As a reader, I read it from a neutral perspective which helps to reduce any bias. Author has written another book on Kim Philby which is opposite of Oleg in terms of the sides he chose to support. In general a great book to read.",,,1,0
51286263,"Eat Smarter: Use the Power of Food to Reboot Your Metabolism, Upgrade Your Brain, and Transform Your Life",Shawn Stevenson,"Stevenson, Shawn",,"=""0316537918""","=""9780316537919""",0,4.25,"Little, Brown Spark",Hardcover,432,2020,2020,,2025/02/06,to-read,to-read (#221),to-read,,,,0,0
61153739,Outlive: The Science & Art of Longevity,Peter Attia,"Attia, Peter",Bill Gifford,"=""0593236599""","=""9780593236598""",0,4.34,Harmony,Hardcover,496,2023,2023,,2025/02/06,to-read,to-read (#220),to-read,,,,0,0
198220970,"Forward the Foundation (Foundation, #7)",Isaac Asimov,"Asimov, Isaac",,"=""0008516200""","=""9780008516208""",5,4.16,Harper Voyager,Paperback,368,2023,1993,2024/10/06,2024/03/28,,,read,,,,1,0
7776209,The Rational Optimist: How Prosperity Evolves,Matt Ridley,"Ridley, Matt",,"=""006145205X""","=""9780061452055""",0,3.97,Harper,Hardcover,448,2010,2010,,2024/09/23,to-read,to-read (#219),to-read,,,,0,0
52219273,"How Innovation Works: Serendipity, Energy and the Saving of Time",Matt Ridley,"Ridley, Matt",,"=""0062916599""","=""9780062916594""",0,4.11,Harper,Hardcover,416,2020,2020,,2024/09/23,to-read,to-read (#218),to-read,,,,0,0
34197090,The Confidence Game: The Psychology of the Con and Why We Fall for It Every Time,Maria Konnikova,"Konnikova, Maria",,"=""1782113916""","=""9781782113911""",4,3.66,CANONGATE BOOKS,Paperback,352,2017,2015,2024/09/09,2024/04/26,myshelf,myshelf (#125),read,,,,1,0
6493321,Logicomix: An Epic Search for Truth,Apostolos Doxiadis,"Doxiadis, Apostolos","Christos H. Papadimitriou, Χρίστος Χ. Παπαδημητρίου, Alecos Papadatos, Annie Di Donna, Αλέκος Παπαδάτος","=""1596914521""","=""9781596914520""",4,4.05,Bloomsbury (NYC),Paperback,347,2009,2009,2024/08/30,2024/08/26,,,read,,,,1,0
81977,What Has Government Done to Our Money? and The Case for a 100 Percent Gold Dollar,Murray N. Rothbard,"Rothbard, Murray N.",,"=""0945466447""","=""9780945466444""",4,4.27,Ludwig von Mises Institute,Hardcover,191,2005,1963,2024/08/27,2022/02/27,,,read,,,,1,0
31380409,"Prelude to Foundation (Foundation, #6)",Isaac Asimov,"Asimov, Isaac",,"=""0008117489""","=""9780008117481""",0,4.16,Harper Voyager UK,Paperback,402,2016,1988,2024/08/25,2024/03/28,myshelf,myshelf (#126),read,,,,1,0
10025702,Six Easy Pieces: Essentials of Physics Explained by Its Most Brilliant Teacher,Richard P. Feynman,"Feynman, Richard P.",,"=""0465025277""","=""9780465025275""",0,4.21,Basic Books,Paperback,167,2011,1994,,2019/06/26,"myshelf, currently-reading","myshelf (#115), currently-reading (#1)",currently-reading,,,,1,0
146078320,"Merchants of Doubt: How a Handful of Scientists Obscured the Truth on Issues from Tobacco Smoke to Global Warming [Jun, 2012]",Naomi Oreskes,"Oreskes, Naomi",Erik M. Conway,"=""""","=""""",0,4.17,Bloomsbury Paperbacks,Paperback,0,,2010,,2020/10/27,"myshelf, currently-reading","myshelf (#68), currently-reading (#3)",currently-reading,,,,1,0
51791252,The Vanishing Half,Brit Bennett,"Bennett, Brit",,"=""0525536299""","=""9780525536291""",0,4.13,Riverhead Books,Hardcover,343,2020,2020,,2024/06/11,to-read,to-read (#217),to-read,,,,0,0
2112823,"Mind Fuck (The Administration, #1)",Manna Francis,"Francis, Manna",,"=""1934081086""","=""9781934081082""",0,3.94,Casperian Books,Paperback,264,2007,2007,,2024/06/11,to-read,to-read (#216),to-read,,,,0,0
41377248,The Little Book of Cannabis: How Marijuana Can Improve Your Life,Amanda Siebert,"Siebert, Amanda",,"=""1771644052""","=""9781771644051""",0,3.80,Greystone Books,Kindle Edition,192,2018,,,2024/06/11,to-read,to-read (#215),to-read,,,,0,0
223932,Software Systems Architecture: Working with Stakeholders Using Viewpoints and Perspectives,Nick Rozanski,"Rozanski, Nick",Eoin Woods,"=""0321112296""","=""9780321112293""",0,4.12,Addison-Wesley,Hardcover,546,2005,2005,,2024/06/11,to-read,to-read (#214),to-read,,,,0,0
27485,Mating in Captivity: Reconciling the Erotic and the Domestic,Esther Perel,"Perel, Esther",,"=""0060753633""","=""9780060753634""",0,4.17,Harper,Hardcover,220,2006,2006,,2024/06/11,to-read,to-read (#213),to-read,,,,0,0
160374,The Death of Ivan Ilyich,Leo Tolstoy,"Tolstoy, Leo","Lynn Solotaroff, Ronald Blythe","=""0553210351""","=""9780553210354""",0,4.14,Bantam Classic,Paperback,113,2004,1886,,2024/06/11,to-read,to-read (#212),to-read,,,,0,0
26883207,"The China Study Solution: The Simple Way to Lose Weight and Reverse Illness, Using a Whole-Food, Plant-Based Diet",Thomas M. Campbell II,"II, Thomas M. Campbell",,"=""1623367573""","=""9781623367572""",0,4.24,Rodale Books,Paperback,304,2016,2014,,2024/06/11,to-read,to-read (#211),to-read,,,,0,0
1008101,Made in Japan: Akio Morita and Sony,Akio Morita,"Morita, Akio","Edwin M. Reingold, Mitsuko Shimomura","=""0525244654""","=""9780525244653""",0,4.08,E. P. Dutton,Hardcover,309,1986,1986,,2024/06/11,to-read,to-read (#210),to-read,,,,0,0
60687331,The Man Who Solved the Market: How Jim Simons Launched the Quant Revolution,Gregory Zuckerman,"Zuckerman, Gregory",,"=""0241981344""","=""9780241981344""",0,4.04,Penguin,ebook,0,2019,2019,,2024/06/11,to-read,to-read (#209),to-read,,,,0,0
49464,Save the Cat: The Last Book on Screenwriting You'll Ever Need,Blake Snyder,"Snyder, Blake",,"=""1932907009""","=""9781932907001""",0,4.02,Michael Wiese Productions,Paperback,195,2005,2005,,2024/06/11,to-read,to-read (#208),to-read,,,,0,0
3018539,Death with Interruptions,José Saramago,"Saramago, José",Margaret Jull Costa,"=""0151012741""","=""9780151012749""",0,4.00,Houghton Mifflin Harcourt,Hardcover,238,2008,2005,,2024/06/11,to-read,to-read (#207),to-read,,,,0,0
46227,"Ask the Dust (The Saga of Arturo Bandini, #3)",John Fante,"Fante, John",Charles Bukowski,"=""0060822554""","=""9780060822552""",0,4.10,Pyramid Books,Paperback,165,1960,1939,,2024/06/11,to-read,to-read (#206),to-read,,,,0,0
604635,Naïve. Super,Erlend Loe,"Loe, Erlend",Tor Ketil Solberg,"=""1841956724""","=""9781841956725""",0,3.86,Canongate UK,Paperback,208,2005,1996,,2024/06/11,to-read,to-read (#205),to-read,,,,0,0
343,Perfume: The Story of a Murderer,Patrick Süskind,"Süskind, Patrick",John E. Woods,"=""""","=""""",0,4.04,Penguin Books,Paperback,263,1987,1985,,2024/06/11,to-read,to-read (#204),to-read,,,,0,0
43330,Master of the Game,Sidney Sheldon,"Sheldon, Sidney",,"=""0006472613""","=""9780006472612""",0,4.15,Harper Collins Publisher,Paperback,489,1993,1982,,2024/06/11,to-read,to-read (#203),to-read,,,,0,0
12716770,Adult Children of Alcoholics: Expanded Edition,Janet Geringer Woititz,"Woititz, Janet Geringer",,"=""""","=""""",0,4.12,,Kindle Edition,242,,1983,,2024/06/11,to-read,to-read (#202),to-read,,,,0,0
28596619,Civilized to Death: What Was Lost on the Way to Modernity,Christopher  Ryan,"Ryan, Christopher",,"=""""","=""""",0,4.13,Simon and Schuster,Paperback,400,2018,2018,,2024/06/11,to-read,to-read (#201),to-read,,,,0,0
22470030,The Conversations (New Directions Paperbook Book 1294),César Aira,"Aira, César",Katherine Silver,"=""0811221113""","=""9780811221115""",0,3.74,New Directions,Kindle Edition,97,2014,2007,,2024/06/11,to-read,to-read (#200),to-read,,,,0,0
18492257,Lean Customer Development: Building Products Your Customers Will Buy,Cindy Alvarez,"Alvarez, Cindy",,"=""1449356354""","=""9781449356354""",0,4.18,O'Reilly Media,Hardcover,236,2014,2014,,2024/06/11,to-read,to-read (#199),to-read,,,,0,0
13629,The Mythical Man-Month: Essays on Software Engineering,Frederick P. Brooks Jr.,"Jr., Frederick P. Brooks",,"=""0201835959""","=""9780201835953""",0,4.01,Addison-Wesley Professional,Paperback,322,1995,1975,,2024/06/11,to-read,to-read (#198),to-read,,,,0,0
